Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
1131825016,1,0,"https://www.kickstarter.com/projects/jingato/survival-horror-ios-game-childs-play-charity?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
739396605,1,0,"https://www.kickstarter.com/projects/739396605/baileys-big-day?ref=discovery_category_popular
",,,,,True,True,,0.0
1134843983,1,0,"https://www.kickstarter.com/projects/1822197246/the-dreamers-deck?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
965721263,1,0,"https://www.kickstarter.com/projects/951558375/evolution-master?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
738737524,1,0,"https://www.kickstarter.com/projects/1597096828/rouled-the-future-of-board-games?ref=discovery_category_popular
",hiwi,False,,,True,True,,0.0
1107550611,1,0,"https://www.kickstarter.com/projects/1617185213/foldyface?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1107675522,1,0,"https://www.kickstarter.com/projects/josemarcomg/equilibrio-el-juego?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1827132579,1,0,"https://www.kickstarter.com/projects/lauraquintanilla/colororo?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1135094746,1,0,"https://www.kickstarter.com/projects/1231627293/help-me-become-a-cod-league-girl-streamer?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
110856704,1,0,"https://www.kickstarter.com/projects/archerytagarena/archery-tag-arena-glasgow-scotland?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
redhousemysteries,1,0,"https://www.kickstarter.com/projects/redhousemysteries/red-house-mysteries-escape-room-project?ref=discovery_category_popular
",,,,,True,True,,0.0
1111517921,1,0,"https://www.kickstarter.com/projects/tassystems/f18-simulator?ref=discovery_category_popular
",guest,False,,,True,True,,1.0
909671252,1,0,"https://www.kickstarter.com/projects/1515747354/unicorns-vs-dinosaurs-fun-way-to-teach-kids-simple?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
158743345,1,0,"https://www.kickstarter.com/projects/69641124/table-topper-a-better-gaming-surface-an-affordable?ref=discovery_category_popular
",guest,False,,,True,True,,1.0
pullyourcard,1,0,"https://www.kickstarter.com/projects/pullyourcard/pull-your-card-hip-hop-trivia?ref=discovery_category_popular
",,,,,True,True,,0.0
1690704934,1,0,"https://www.kickstarter.com/projects/dan-the-man777/super-nova-a-hudoson-valley-family-fun-center?ref=discovery_category_popular
",hiwi,False,,,True,True,,0.0
1865777838,1,0,"https://www.kickstarter.com/projects/1188137332/create-and-publish-your-own-minecraft-style-mobile?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
